Date,Hour,Lighting1 A-wing,Lighting1 B-wing,Lighting1 C-wing,Sockets1 A-wing,Sockets1 B-wing,Sockets1 C-wing,Total1 A-wing,Total1 B-wing,Total1 C-wing
2016-09-12,0:00:00,0.221056225,0.168453194,0.090798301,0.476943775,0.240546806,0.960201699,0.698,0.409,1.051
2016-09-12,1:00:00,0.221056225,0.168453194,0.090798301,0.438943775,0.298546806,1.091201699,0.66,0.467,1.182
2016-09-12,2:00:00,0.221056225,0.168453194,0.090798301,0.409943775,0.241546806,0.908201699,0.631,0.41,0.999
2016-09-12,3:00:00,0.221056225,0.168453194,0.090798301,0.410943775,0.239546806,0.901201699,0.632,0.408,0.992
2016-09-12,4:00:00,0.221056225,0.168453194,0.090798301,0.401943775,0.237546806,0.893201699,0.623,0.406,0.984
2016-09-12,5:00:00,0.221056225,0.168453194,0.090798301,0.414943775,0.263546806,0.912201699,0.636,0.432,1.003
2016-09-12,6:00:00,0.221056225,0.168453194,0.090798301,0.426943775,0.270546806,0.923201699,0.648,0.439,1.014
2016-09-12,7:00:00,0.221117647,0.1685,0.090823529,6.636882353,1.6345,8.985176471,6.858,1.803,9.076
2016-09-12,8:00:00,5.404,1.411,1.85,4.574,2.119,11.338,9.978,3.53,13.188
2016-09-12,9:00:00,6.136,1.767,1.843,6.701,2.625,14.244,12.837,4.392,16.087
2016-09-12,10:00:00,6.167,2.016,1.854,8.235,2.734,16.144,14.402,4.75,17.998
2016-09-12,11:00:00,6.871,2.085,1.913,8.848,2.754,17.731,15.719,4.839,19.644
2016-09-12,12:00:00,6.207,2.156,1.915,9.166,3.134,17.189,15.373,5.29,19.104
2016-09-12,13:00:00,6.523,2.165,1.915,8.953,3.036,17.195,15.476,5.201,19.11
2016-09-12,14:00:00,6.685,2.158,1.914,8.534,2.903,16.889,15.219,5.061,18.803
2016-09-12,15:00:00,6.359,2.16,1.913,8.676,3.099,16.521,15.035,5.259,18.434
2016-09-12,16:00:00,6.037,2.153,1.913,8.136,2.861,15.83,14.173,5.014,17.743
2016-09-12,17:00:00,5.555,1.506,1.919,6.022,2.335,13.145,11.577,3.841,15.064
2016-09-12,18:00:00,4.685,1.298,1.912,3.924,2.04,9.939,8.609,3.338,11.851
2016-09-12,19:00:00,4.309,0.077670726,1.832,3.208,1.051329274,8.82,7.517,1.129,10.652
2016-09-12,20:00:00,0.451041343,0.077670726,0.329825023,3.747958657,0.433329274,7.020174977,4.199,0.511,7.35
