Date,Hour,Lighting2 A-wing,Lighting2 B-wing,Lighting2 C-wing,Sockets2 A-wing,Sockets2 B-wing,Sockets2 C-wing,Total2 A-wing,Total2 B-wing,Total2 C-wing
2016-09-12,0:00:00,0.19082933,0.023111225,0.094855997,5.663773064,2.783218903,8.300211481,5.854602394,2.806330129,8.395067477
2016-09-12,1:00:00,0.19082933,0.023111225,0.094855997,5.711829134,2.806253977,8.369120337,5.902658464,2.829365203,8.463976333
2016-09-12,2:00:00,0.19082933,0.023111225,0.094855997,5.550841298,2.72908648,8.138275669,5.741670629,2.752197706,8.233131666
2016-09-12,3:00:00,0.19082933,0.023111225,0.094855997,5.67304102,2.787661382,8.313501046,5.86387035,2.810772607,8.408357042
2016-09-12,4:00:00,0.19082933,0.023111225,0.094855997,5.645580408,2.774498483,8.274124557,5.836409739,2.797609708,8.368980553
2016-09-12,5:00:00,0.19082933,0.023111225,0.094855997,5.55496039,2.731060915,8.144182143,5.74578972,2.75417214,8.239038139
2016-09-12,6:00:00,0.19082933,0.023111225,0.094855997,5.588942897,2.747350003,8.192910548,5.779772227,2.770461228,8.287766545
2016-09-12,7:00:00,0.190882353,0.023117647,0.094882353,8.320190956,4.056558452,12.10936824,8.511073309,4.079676099,12.20425059
2016-09-12,8:00:00,4.481,0.532,2.463,5.6842319,4.340576245,12.11319185,10.1652319,4.872576245,14.57619185
2016-09-12,9:00:00,5.6,1.022,3.092,6.681415282,4.864942172,14.51864255,12.28141528,5.886942172,17.61064255
2016-09-12,10:00:00,5.551,1.182,3.74,7.464643384,5.056885192,14.92347142,13.01564338,6.238885192,18.66347142
2016-09-12,11:00:00,5.74,1.039,3.668,7.706088471,5.406213638,15.61269789,13.44608847,6.445213638,19.28069789
2016-09-12,12:00:00,5.897,1.095,3.646,7.785249731,5.463414572,15.9733357,13.68224973,6.558414572,19.6193357
2016-09-12,13:00:00,5.99,1.435,3.839,7.793510736,5.171952763,15.9255365,13.78351074,6.606952763,19.7645365
2016-09-12,14:00:00,5.907,1.606,3.528,7.624902883,4.880347698,15.87574942,13.53190288,6.486347698,19.40374942
2016-09-12,15:00:00,5.584,1.12,3.325,7.697324802,5.246236242,15.71943896,13.2813248,6.366236242,19.04443896
2016-09-12,16:00:00,5.12,0.963,3.227,7.634081059,5.150508576,15.06141037,12.75408106,6.113508576,18.28841037
2016-09-12,17:00:00,4.678,0.765,2.737,6.801222165,4.737420976,13.72335686,11.47922217,5.502420976,16.46035686
2016-09-12,18:00:00,4.367,0.85,2.127,6.336803145,4.280733608,13.22146325,10.70380315,5.130733608,15.34846325
2016-09-12,19:00:00,4.336,0.487,2.058,5.946626015,4.44184764,12.68652635,10.28262601,4.92884764,14.74452635
2016-09-12,20:00:00,4.39,0.365,2.02,5.712759009,4.477630649,12.46661034,10.10275901,4.842630649,14.48661034
2016-09-12,21:00:00,4.304,0.223,1.845,5.637084658,4.54213408,12.40978126,9.941084658,4.76513408,14.25478126
2016-09-12,22:00:00,0.459472333,0.062182722,0.249730611,6.985099472,3.506279276,10.42523559,7.444571806,3.568461998,10.6749662
2016-09-12,23:00:00,0.459472333,0.062182722,0.249730611,5.523851677,2.805848497,8.329914159,5.983324011,2.868031219,8.57964477
2016-09-13,0:00:00,0.459472333,0.062182722,0.249730611,5.634037381,2.858664631,8.487912321,6.093509715,2.920847353,8.737642933
2016-09-13,1:00:00,0.459472333,0.062182722,0.249730611,5.528657284,2.808152005,8.336805045,5.988129618,2.870334727,8.586535656
2016-09-13,2:00:00,0.459472333,0.062182722,0.249730611,5.453827118,2.772283104,8.229504112,5.913299451,2.834465826,8.479234723
2016-09-13,3:00:00,0.459472333,0.062182722,0.249730611,5.522821904,2.805354888,8.328437541,5.982294238,2.867537611,8.578168152
2016-09-13,4:00:00,0.459472333,0.062182722,0.249730611,5.545476909,2.81621428,8.360923144,6.004949242,2.878397003,8.610653755
2016-09-13,5:00:00,0.459472333,0.062182722,0.249730611,5.483347275,2.786433221,8.271833837,5.942819609,2.848615943,8.521564449
2016-09-13,6:00:00,0.459472333,0.062182722,0.249730611,5.544790394,2.815885208,8.359938732,6.004262727,2.87806793,8.609669343
2016-09-13,7:00:00,0.4596,0.0622,0.2498,9.766388503,4.83949916,14.41351234,10.2259885,4.90169916,14.66331234
2016-09-13,8:00:00,4.895,0.445,2.572,6.391997884,4.965280681,13.61272143,11.28699788,5.410280681,16.18472143
2016-09-13,9:00:00,5.395,1.21,3.204,7.804286225,5.116912081,15.72280169,13.19928622,6.326912081,18.92680169
2016-09-13,10:00:00,5.877,1.1,3.525,8.157432075,5.627228755,16.59933917,14.03443207,6.727228755,20.12433917
2016-09-13,11:00:00,6.272,1.488,3.41,7.777192154,5.246303814,16.73550403,14.04919215,6.734303814,20.14550403
2016-09-13,12:00:00,5.964,1.159,3.572,7.841135968,5.458318546,16.22354549,13.80513597,6.617318546,19.79554549
2016-09-13,13:00:00,5.801,1.324,3.32,8.087547576,5.333300853,16.59515157,13.88854758,6.657300853,19.91515157
2016-09-13,14:00:00,5.875,1.563,3.877,8.24181391,5.203717453,16.36546864,14.11681391,6.766717453,20.24246864
2016-09-13,15:00:00,5.921,1.154,3.447,8.012514327,5.5248551,16.53263057,13.93351433,6.6788551,19.97963057
2016-09-13,16:00:00,5.753,1.133,3.363,7.44834577,5.194899298,15.56675493,13.20134577,6.327899298,18.92975493
2016-09-13,17:00:00,5.087,1.172,2.791,6.83021892,4.54036922,14.29741186,11.91721892,5.71236922,17.08841186
2016-09-13,18:00:00,4.466,0.837,2.578,6.513782292,4.426020745,13.16619696,10.97978229,5.263020745,15.74419696
2016-09-13,19:00:00,3.771,0.156,1.794,6.104865705,4.577872194,12.3672621,9.875865705,4.733872194,14.1612621
2016-09-13,20:00:00,3.851,0.129,1.477,5.731380419,4.464193708,12.26342587,9.582380419,4.593193708,13.74042587
2016-09-13,21:00:00,0.511,0.129,0.039,7.143645484,3.540158177,10.93719634,7.654645484,3.669158177,10.97619634
2016-09-13,22:00:00,0.186748111,0.089175222,0.091974444,6.786530948,3.253378517,9.907192758,6.973279059,3.342553739,9.999167202
2016-09-13,23:00:00,0.186748111,0.089175222,0.091974444,5.655840265,2.711396138,8.285865819,5.842588376,2.80057136,8.377840263
2016-09-14,0:00:00,0.186748111,0.089175222,0.091974444,5.611903286,2.690335499,8.222863436,5.798651398,2.779510722,8.314837881
2016-09-14,1:00:00,0.186748111,0.089175222,0.091974444,5.675749208,2.72093924,8.314413774,5.86249732,2.810114462,8.406388218
2016-09-14,2:00:00,0.186748111,0.089175222,0.091974444,5.599202754,2.684247658,8.20465181,5.785950865,2.773422881,8.296626255
2016-09-14,3:00:00,0.186748111,0.089175222,0.091974444,5.64485602,2.706130979,8.270115223,5.831604132,2.795306201,8.362089668
2016-09-14,4:00:00,0.186748111,0.089175222,0.091974444,5.624603819,2.69642334,8.241075063,5.81135193,2.785598563,8.333049507
2016-09-14,5:00:00,0.186748111,0.089175222,0.091974444,5.648631855,2.707940877,8.275529491,5.835379966,2.797116099,8.367503935
2016-09-14,6:00:00,0.186748111,0.089175222,0.091974444,5.617052151,2.692803543,8.230246528,5.803800262,2.781978765,8.322220972
2016-09-14,7:00:00,0.1868,0.0892,0.092,8.224385334,3.942596053,11.96901861,8.411185334,4.031796053,12.06101861
2016-09-14,8:00:00,5.15,0.816,2.534,6.031961045,4.543932591,13.50010636,11.18196104,5.359932591,16.03410636
2016-09-14,9:00:00,5.765,1.19,3.369,7.101669567,4.977476463,15.08085397,12.86666957,6.167476463,18.44985397
2016-09-14,10:00:00,5.91,1.752,3.626,7.959668405,4.89625136,16.26208024,13.86966841,6.64825136,19.88808024
2016-09-14,11:00:00,5.857,1.159,3.797,8.099855847,5.531043565,16.21610059,13.95685585,6.690043565,20.01310059
2016-09-14,12:00:00,6.357,1.094,3.427,7.516787497,5.556225794,16.46698671,13.8737875,6.650225794,19.89398671
2016-09-14,13:00:00,5.879,1.317,3.63,7.859543985,5.268398515,16.0700575,13.73854398,6.585398515,19.7000575
2016-09-14,14:00:00,6.124,1.178,3.716,7.544519425,5.373833122,15.88364745,13.66851943,6.551833122,19.59964745
2016-09-14,15:00:00,5.832,0.747,3.178,7.265338704,5.531044817,15.60261648,13.0973387,6.278044817,18.78061648
2016-09-14,16:00:00,5.325,0.906,3.129,7.28903194,5.14037779,14.95859027,12.61403194,6.04637779,18.08759027
2016-09-14,17:00:00,4.627,0.655,3.024,6.874533912,4.858115832,13.46835026,11.50153391,5.513115832,16.49235026
2016-09-14,18:00:00,4.437,0.588,2.674,6.532484562,4.670084658,13.05543078,10.96948456,5.258084658,15.72943078
2016-09-14,19:00:00,4.353,0.425,2.161,6.040841492,4.557157382,12.74300113,10.39384149,4.982157382,14.90400113
2016-09-14,20:00:00,4.362,0.404,2.084,5.845795848,4.488978739,12.55322541,10.20779585,4.892978739,14.63722541
2016-09-14,21:00:00,4.351,0.405,2.315,5.853706529,4.486497913,12.31779556,10.20470653,4.891497913,14.63279556
2016-09-14,22:00:00,4.423,0.407,2.099,5.709279166,4.449780766,12.42994007,10.13227917,4.856780766,14.52894007
2016-09-14,23:00:00,0.524520926,0.113635093,0.298028302,5.830207857,2.93242434,8.814183483,6.354728783,3.046059432,9.112211785
2016-09-15,0:00:00,0.524520926,0.113635093,0.298028302,5.57757023,2.811325666,8.451919783,6.102091156,2.924960759,8.749948085
2016-09-15,1:00:00,0.524520926,0.113635093,0.298028302,5.566585985,2.806060506,8.436169187,6.091106911,2.919695599,8.73419749
2016-09-15,2:00:00,0.524520926,0.113635093,0.298028302,5.413836333,2.732841879,8.217137467,5.938357259,2.846476972,8.515165769
2016-09-15,3:00:00,0.524520926,0.113635093,0.298028302,5.42447732,2.737942503,8.232395856,5.948998246,2.851577595,8.530424159
