Date,Time,Lighting3 A-wing,Lighting3 B-wing,Lighting3 C-wing,Sockets3 A-wing,Sockets3 B-wing,Sockets3 C-wing,Total3 A-wing,Total3 B-wing,Total3 C-wing
2016-09-12,0:00:00,0.072979722,0,0.032933126,0.671113653,0.444,1.237405514,0.73666136,0.444,1.27033864
2016-09-12,1:00:00,0.072979722,0,0.032578914,0.697982684,0.445,1.272536482,0.763884604,0.445,1.305115396
2016-09-12,2:00:00,0.072979722,0,0.032759153,0.677727568,0.439,1.242791598,0.743449248,0.439,1.275550752
2016-09-12,3:00:00,0.072979722,0,0.032712144,0.684754853,0.448,1.253764313,0.750523543,0.448,1.286476457
2016-09-12,4:00:00,0.072979722,0,0.032750508,0.683514744,0.448,1.253004422,0.74924507,0.448,1.28575493
2016-09-12,5:00:00,0.072979722,0,0.032947868,0.650445167,0.436,1.200074,0.715978133,0.436,1.233021867
2016-09-12,6:00:00,0.072979722,0,0.03302284,0.653338755,0.438,1.208180412,0.718796748,0.438,1.241203252
2016-09-12,7:00:00,0.073,1.808,0.033001233,3.405129627,0.534,6.259362177,3.470636591,2.342,6.292363409
2016-09-12,8:00:00,3.165,1.89,2.674594936,2.131747613,1.714,4.880252387,4.570152677,3.604,7.554847323
2016-09-12,9:00:00,3.616,1.957,2.371826832,3.064309686,3.094,6.621690314,6.034482854,5.051,8.993517146
2016-09-12,10:00:00,4.199,1.972,2.758392247,3.370616644,2.872,8.045383356,6.660224397,4.844,10.8037756
2016-09-12,11:00:00,3.888,1.587,2.47854662,3.00065075,2.764,7.22034925,6.06110413,4.351,9.69889587
2016-09-12,12:00:00,3.874,1.801,2.849644168,3.21725648,2.746,8.00374352,6.097612312,4.547,10.85338769
2016-09-12,13:00:00,4.315,1.827,2.667516306,3.56448704,2.545,8.10151296,7.063970734,4.372,10.76902927
2016-09-12,14:00:00,4.081,1.767,2.538077384,3.60665075,2.427,8.10234925,6.920573366,4.194,10.64042663
2016-09-12,15:00:00,4.239,1.521,2.553507954,3.338373806,2.487,8.095626194,6.699865852,4.008,10.64913415
2016-09-12,16:00:00,3.835,1.488,2.719516903,3.027106412,2.193,7.568893588,5.908589509,3.681,10.28841049
2016-09-12,17:00:00,3.436,1.466,2.533184276,2.266506139,2.041,5.967493861,4.783321864,3.507,8.500678136
2016-09-12,18:00:00,2.844,1.362,2.308814774,1.763848568,1.624,4.298151432,3.906033793,2.986,6.606966207
2016-09-12,19:00:00,1.588,1.009,0.399560577,1.591886767,1.464,2.768113233,3.11432619,2.473,3.16767381
2016-09-12,20:00:00,1.889,1.334,0,1.541869031,1.416,2.489130969,3.430869031,2.75,2.489130969
2016-09-12,21:00:00,1.867,1.309,0.001137925,1.516653479,1.419,2.449346521,3.383515554,2.728,2.450484446
2016-09-12,22:00:00,1.88,1.318,0,1.547656207,1.395,2.494343793,3.427656207,2.713,2.494343793
2016-09-12,23:00:00,0.419105772,0.094,0.184080856,1.376496025,1.288,2.242443204,1.773475941,1.382,2.426524059
2016-09-13,0:00:00,0.419105772,0,0.184799274,1.294648822,1.301,2.119290407,1.690910319,1.301,2.304089681
2016-09-13,1:00:00,0.419105772,0,0.184094618,1.334332314,1.31,2.174606914,1.731298468,1.31,2.358701532
2016-09-13,2:00:00,0.419105772,0,0.18511761,1.285141318,1.302,2.10779791,1.68108448,1.302,2.29291552
2016-09-13,3:00:00,0.419105772,0,0.18953339,1.061094933,1.036,1.789844295,1.452622315,1.036,1.979377685
2016-09-13,4:00:00,0.419105772,0,0.208432683,0.580759326,0.458,1.107179902,0.953387415,0.458,1.315612585
2016-09-13,5:00:00,0.419105772,0,0.208747221,0.568771605,0.461,1.087167624,0.941085155,0.461,1.295914845
2016-09-13,6:00:00,0.419105772,0,0.208690641,0.569598344,0.457,1.088340884,0.941968475,0.457,1.297031525
2016-09-13,7:00:00,0.419222222,1.249,0.195074645,3.164666667,0.669,5.441111111,3.550814243,1.918,5.636185756
2016-09-13,8:00:00,3.672,1.984,2.533733557,1.806012278,1.924,3.995987722,4.864278721,3.908,6.529721279
2016-09-13,9:00:00,4.203,1.905,2.573174678,2.776604366,2.353,6.036395634,6.299429687,4.258,8.609570313
2016-09-13,10:00:00,4.53,2.127,2.363129573,3.372683492,2.478,7.746316507,7.155553919,4.605,10.10944608
2016-09-13,11:00:00,4.401,1.645,2.362732223,3.535964529,2.898,8.156035471,7.177232306,4.543,10.51876769
2016-09-13,12:00:00,4.013,2.086,2.737006881,3.559526603,3.144,8.123473397,6.733519722,5.23,10.86048028
2016-09-13,13:00:00,4.596,1.603,2.675287952,3.705859482,2.471,8.294140518,7.50357153,4.074,10.96942847
2016-09-13,14:00:00,4.579,1.831,2.59628742,3.489667121,2.352,7.969332879,7.266379701,4.183,10.5656203
2016-09-13,15:00:00,5.338,1.83,2.414991402,3.598383356,2.474,7.932616644,8.228391954,4.304,10.34760805
2016-09-13,16:00:00,4.7,1.579,2.292279124,3.182120055,2.119,7.111879945,7.199840931,3.698,9.404159069
2016-09-13,17:00:00,3.707,1.439,2.234388469,2.281387449,1.826,5.027612551,5.38799898,3.265,7.26200102
2016-09-13,18:00:00,3.146,1.316,2.215822593,1.783690314,1.57,4.083309686,4.32586772,2.886,6.29913228
2016-09-13,19:00:00,0.221707628,0.09,0.178443787,1.52213174,1.334,2.920120952,1.699435261,1.424,3.098564739
2016-09-13,20:00:00,0.221707628,0,0.1686601,1.27783024,1.279,2.316422453,1.464917447,1.279,2.485082553
2016-09-13,21:00:00,0.221707628,0,0.20420167,1.226159026,1.282,2.721093667,1.377704664,1.282,2.925295336
2016-09-13,22:00:00,0.221707628,0,0.231719996,0.857019871,0.834,2.200232821,0.981047184,0.834,2.431952816
2016-09-13,23:00:00,0.221707628,0,0.185447506,0.528390949,0.46,1.088861743,0.69869075,0.46,1.27430925
2016-09-14,0:00:00,0.221707628,0,0.17765,0.518470076,0.461,1.018782616,0.696567384,0.461,1.196432616
2016-09-14,1:00:00,0.221707628,0,0.175696994,0.549472805,0.463,1.063779888,0.729523118,0.463,1.239476882
2016-09-14,2:00:00,0.221707628,0,0.177584002,0.517229967,0.465,1.016022725,0.695393272,0.465,1.193606728
