Date,Hour,Parking Garage,Real estate electricity,Water chiller,Total building electricity consumption
2016-09-12,0:00:00,3.354,12.902,0,35.082
2016-09-12,1:00:00,3.218,14.346,0,36.759
2016-09-12,2:00:00,3.209,14.541,0,36.392
2016-09-12,3:00:00,3.267,14.595,0,36.727
2016-09-12,4:00:00,3.223,14.603,0,36.705
2016-09-12,5:00:00,3.341,14.603,0,36.294
2016-09-12,6:00:00,3.178,15.441,0,37.241
2016-09-12,7:00:00,3.765,32.133,0,80.542
2016-09-12,8:00:00,4.245,49.195,0,135.633
2016-09-12,9:00:00,4.157,70.992,6.948,172.774
2016-09-12,10:00:00,3.89,67.313,5.402,184.04
2016-09-12,11:00:00,3.766,63.633,4.305,176.751
2016-09-12,12:00:00,4.276,66.525,5.103,177.758
2016-09-12,13:00:00,4.783,71.247,6.546,184.142
2016-09-12,14:00:00,4.401,72.215,7.293,172.618
2016-09-12,15:00:00,4.359,75.209,8.422,159.984
2016-09-12,16:00:00,4.192,75.473,8.498,156.019
2016-09-12,17:00:00,3.761,75.834,8.525,145.868
2016-09-12,18:00:00,3.729,72.53,7.661,133.559
2016-09-12,19:00:00,3.637,47.838,0.784,99.392
2016-09-12,20:00:00,3.511,19.025,0,66.238
2016-09-12,21:00:00,3.801,23.341,0,64.71
2016-09-12,22:00:00,3.544,20.292,0,54.404
2016-09-12,23:00:00,3.342,19.724,0,46.58
2016-09-13,0:00:00,3.331,13.38,0,40.287
2016-09-13,1:00:00,3.402,13.864,0,40.65
2016-09-13,2:00:00,3.51,13.743,0,40.116
2016-09-13,3:00:00,4.018,14.376,0,40.016
2016-09-13,4:00:00,3.401,13.787,0,37.063
2016-09-13,5:00:00,3.409,13.78,0,37.034
2016-09-13,6:00:00,3.357,14.497,0,37.734
2016-09-13,7:00:00,4.016,24.808,0,80.018
2016-09-13,8:00:00,4.654,49.07,0,131.567
2016-09-13,9:00:00,4.276,63.449,4.247,166.196
2016-09-13,10:00:00,4.081,63.813,4.663,185.392
2016-09-13,11:00:00,3.822,60.43,3.714,176.253
