Date,Absent hours per person
2016-09-01,7.5
2016-09-01,7.5
2016-09-01,2.5
2016-09-01,7.5
2016-09-01,7.5
2016-09-01,7.5
2016-09-01,7.5
2016-09-01,7.5
2016-09-01,2.5
2016-09-01,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-02,7.5
2016-09-05,7.5
2016-09-05,7.5
2016-09-05,0.5
2016-09-05,1.5
2016-09-05,7.5
2016-09-05,7.5
2016-09-05,7.5
2016-09-05,7.5
2016-09-05,7.5
2016-09-06,7.5
2016-09-06,2.5
2016-09-06,5
2016-09-06,7.5
2016-09-06,7.5
2016-09-06,7.5
2016-09-06,2
2016-09-06,7.5
2016-09-06,7.5
2016-09-07,7.5
2016-09-07,3.5
2016-09-07,7.5
2016-09-07,3.5
2016-09-07,7.5
2016-09-07,7.5
2016-09-07,7.5
2016-09-07,2
2016-09-07,4
2016-09-08,7.5
2016-09-08,7.5
2016-09-08,4
2016-09-08,7.5
2016-09-08,7.5
2016-09-08,7.5
2016-09-08,7.5
2016-09-08,1.5
2016-09-08,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-09,7.5
2016-09-12,7.5
2016-09-12,3.5
2016-09-12,7.5
2016-09-12,3
2016-09-12,7.5
2016-09-12,7.5
2016-09-13,7.5
2016-09-13,2.5
2016-09-13,7.5
2016-09-13,7.5
2016-09-13,7.5
2016-09-13,7.5
2016-09-13,7.5
2016-09-13,0.5
2016-09-13,7.5
2016-09-14,7.5
2016-09-14,7.5
2016-09-14,7.5
2016-09-14,7.5
2016-09-14,7.5
2016-09-14,7.5
2016-09-14,5.5
2016-09-14,7.5
2016-09-14,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-15,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,1
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-16,7.5
2016-09-19,7.5
2016-09-19,1
2016-09-19,7.5
2016-09-19,7.5
2016-09-19,3.5
2016-09-19,7.5
2016-09-19,7.5
2016-09-19,7.5
2016-09-19,5
2016-09-19,7.5
2016-09-19,7.5
2016-09-19,7.5
2016-09-19,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-20,7.5
2016-09-21,7.5
2016-09-21,2
2016-09-21,7.5
2016-09-21,7.5
2016-09-21,7.5
2016-09-21,5
2016-09-21,7.5
2016-09-21,7.5
2016-09-21,7.5
2016-09-22,7.5
2016-09-22,7.5
2016-09-22,5
2016-09-22,2
2016-09-22,7.5
2016-09-22,7.5
2016-09-22,7.5
2016-09-22,7.5
2016-09-22,7.5
2016-09-22,7.5
2016-09-23,7.5
2016-09-23,7.5
2016-09-23,7.5
2016-09-23,3
2016-09-23,7.5
2016-09-23,7.5
2016-09-23,7.5
2016-09-23,7.5
2016-09-23,7.5
2016-09-23,7.5
2016-09-26,7.5
2016-09-26,7.5
2016-09-26,7.5
2016-09-26,7.5
2016-09-26,7.5
2016-09-26,7.5
2016-09-26,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-27,7.5
2016-09-28,7.5
2016-09-28,2.5
2016-09-28,7.5
2016-09-28,7.5
2016-09-28,2
2016-09-28,7.5
2016-09-28,7.5
2016-09-28,2
2016-09-28,7.5
2016-09-28,7.5
2016-09-29,7.5
2016-09-29,7.5
2016-09-29,7
2016-09-29,3
2016-09-29,7.5
2016-09-29,7.5
2016-09-29,7.5
2016-09-29,7.5
2016-09-29,7.5
2016-09-30,7.5
2016-09-30,7.5
2016-09-30,2
2016-09-30,7.5
2016-09-30,7.5
2016-09-30,7.5
2016-09-30,7.5
2016-09-30,7.5
2016-09-30,6
2016-09-30,7.5
2016-09-30,7.5
