Date,Time,TOTAL PEOPLE IN
2016-09-12,6:00:00,1
2016-09-12,6:00:00,1
2016-09-12,6:01:00,2
2016-09-12,6:01:00,3
2016-09-12,6:02:00,3
2016-09-12,6:02:00,3
2016-09-12,6:03:00,3
2016-09-12,6:03:00,3
2016-09-12,6:03:00,3
2016-09-12,6:03:00,3
2016-09-12,6:04:00,4
2016-09-12,6:05:00,4
2016-09-12,6:05:00,5
2016-09-12,6:06:00,5
2016-09-12,6:11:00,5
2016-09-12,6:12:00,6
2016-09-12,6:21:00,6
2016-09-12,6:21:00,6
2016-09-12,6:21:00,7
2016-09-12,6:23:00,7
2016-09-12,6:23:00,7
2016-09-12,6:33:00,7
2016-09-12,6:36:00,7
2016-09-12,6:47:00,7
2016-09-12,6:47:00,7
2016-09-12,6:48:00,7
2016-09-12,6:49:00,7
2016-09-12,6:49:00,7
2016-09-12,6:50:00,7
2016-09-12,6:51:00,7
2016-09-12,6:51:00,7
2016-09-12,6:52:00,7
2016-09-12,6:52:00,7
2016-09-12,6:52:00,8
2016-09-12,6:52:00,8
2016-09-12,6:54:00,8
2016-09-12,6:54:00,8
2016-09-12,6:54:00,9
2016-09-12,6:55:00,9
2016-09-12,6:55:00,9
2016-09-12,6:55:00,10
2016-09-12,6:56:00,10
2016-09-12,6:56:00,10
2016-09-12,6:56:00,11
2016-09-12,6:57:00,11
2016-09-12,6:57:00,11
2016-09-12,6:58:00,11
2016-09-12,6:58:00,11
2016-09-12,6:58:00,12
2016-09-12,6:58:00,12
2016-09-12,6:58:00,12
2016-09-12,6:58:00,12
2016-09-12,7:00:00,12
2016-09-12,7:00:00,12
2016-09-12,7:01:00,12
2016-09-12,7:01:00,13
2016-09-12,7:01:00,13
2016-09-12,7:01:00,14
2016-09-12,7:01:00,14
2016-09-12,7:02:00,14
2016-09-12,7:02:00,14
2016-09-12,7:03:00,14
2016-09-12,7:03:00,14
2016-09-12,7:03:00,14
2016-09-12,7:03:00,14
2016-09-12,7:04:00,14
2016-09-12,7:05:00,14
2016-09-12,7:05:00,15
2016-09-12,7:05:00,15
2016-09-12,7:05:00,16
2016-09-12,7:06:00,16
2016-09-12,7:06:00,16
2016-09-12,7:06:00,17
2016-09-12,7:06:00,16
2016-09-12,7:06:00,17
2016-09-12,7:06:00,17
2016-09-12,7:07:00,17
2016-09-12,7:07:00,18
2016-09-12,7:07:00,18
2016-09-12,7:08:00,18
2016-09-12,7:10:00,18
2016-09-12,7:10:00,18
2016-09-12,7:10:00,19
2016-09-12,7:11:00,19
2016-09-12,7:14:00,19
2016-09-12,7:15:00,19
2016-09-12,7:16:00,19
2016-09-12,7:16:00,19
2016-09-12,7:16:00,20
2016-09-12,7:16:00,20
2016-09-12,7:16:00,21
2016-09-12,7:16:00,21
2016-09-12,7:16:00,22
2016-09-12,7:16:00,22
2016-09-12,7:17:00,22
2016-09-12,7:17:00,22
2016-09-12,7:18:00,22
2016-09-12,7:17:00,22
2016-09-12,7:18:00,23
2016-09-12,7:18:00,24
