ID number,Team ID,Distance one way,Distance return,Non-Emitting Modes,,Public Transport,,,,Petrol Car,,,Diesel Car,,,Motorbike,,
,,,,Walk,Bicycle,Bus,Train,Tram,Metro,Small < 1.4ltr,Medium 1.4-2.0ltr,Large >2.0ltr,Small < 1.4ltr,Medium 1.4-2.0ltr,Large >2.0ltr,0 - 125cc,125 - 500cc,> 500cc
1,Team 1,15,30,,,0.6,0.3,,,,0.1,,,,,,,
2,Team 2,19,38,,,,,,,,1,,,,,,,
3,Team 3,33,66,,,,0.75,,,,,0.25,,,,,,
4,Team 4,5,10,0.1,0.6,0.3,,,,,,,,,,,,
5,Team 5,12,24,,,0.6,0.4,,,,,,,,,,,
6,Team 5,14,28,,,,,,,,1,,,,,,,
7,Team 6,27.2,54.4,,,,,,,,1,,,,,,,
8,Team 7,25,50,,0.05,,0.05,,,,0.9,,,,,,,
9,Team 8,16,32,,,,0.05,,,,0.95,,,,,,,
10,Team 9,30,60,,,0.03,0.02,,,,0.95,,,,,,,
11,Team 10,24,48,,,0.95,0.04,,,,0.01,,,,,,,
12,Team 11,4.5,9,,0.9,,,,,,,,,,,,,0.1
13,Team 12,29,58,,,,,,,,,,,1,,,,
14,Team 4,23,46,,,,,,,,0.85,,,,,,,0.15
15,Team 13,5.7,11.4,,0.02,,,,,0.98,,,,,,,,
16,Team 4,20,40,,,,0.1,,,,0.75,,,,,,,0.15
17,Team 14,2,4,,0.15,,,,,,0.85,,,,,,,
18,Team 15,54,108,,0.05,,0.94,,,,0.01,,,,,,,
19,Team 16,8.5,17,,0.02,0.9,0.07,,,,0.01,,,,,,,
20,Team 4,7.9,15.8,,,,,,,1,,,,,,,,
21,Team 17,30,60,0.05,,,0.05,0.05,,,0.85,,,,,,,
22,Team 18,13,26,,,0.03,,,0.02,,0.95,,,,,,,
23,Team 19,10,20,,,0.05,,,,,0.95,,,,,,,
24,Team 6,9,18,,,0.01,,,,,0.99,,,,,,,
25,Team 20,3.5,7,,0.9,,,,,,0.1,,,,,,,
26,Team 21,9.7,19.4,,0.2,0.15,0.15,,,,0.5,,,,,,,
27,Team 22,14,28,0.05,0.15,0.35,0.3,0.05,,0.1,,,,,,,,
28,Team 1,11,22,,,,,,,,,1,,,,,,
29,Team 19,9.5,19,,0.005,0.005,0.005,,,,0.985,,,,,,,
30,Team 11,23,46,,,0.05,0.94,,,,0.005,,,,,,,
31,Team 12,2.2,4.4,0.02,0.02,,0.03,,,,,,,0.93,,,,
32,Team 21,19,38,,,0.6,0.3,,,,0.1,,,,,,,
33,Team 4,30,60,,,,,,,,1,,,,,,,
